department_code,original_department_code,stock_code,description,soh,sales_qty,sales_value,sales_cost,gross_profit,turnover_percent,gross_profit_percent
BAAC,BAAC01,LP9001470,CLEAN&CLEAR BHEAD CLEANSER 200ML,1.0,1.0,78.22,57.6,20.62,0.086,26.362
BAAF,BAAF01,LP9065354,NIVEA FC MEN CRM 30ML EVEN TONE,0.0,1.0,28.69,22.03,6.66,0.028,23.214
BBGE,BBGE03,LP9133033,FLAIR TWEEZER WITH LED LIGHT,5.0,1.0,52.13,36.5,15.63,0.065,29.983
BBGN,BBGN01,LP9004488,BASICS BABY NAIL CLIPPER,2.0,1.0,27.78,17.57,10.21,0.042,36.753
BCCF,BCCF01,LP9004921,NIVEA FC MEN MOIST 75ML PROTECT & C,1.0,1.0,121.73,87.49,34.24,0.142,28.128
BCCF,BCCF02,LP9099635,ASCOT COMP PWD NUDE,8.0,1.0,34.74,21.35,13.39,0.056,38.543
BPFR,BPFR02,LP9096147,TFP LADIES 50ML 81 CLASSIQUE INTENS,2.0,1.0,173.04,120.36,52.68,0.219,30.444
FBBC,FBBC05,LP9072913,VITUS DIGITAL THERMOMETER,1.0,1.0,53.87,38.0,15.87,0.066,29.46
FBBD,FBBD04,LP9064088,J4K ORTHO TEAT SILI 2PC SLOW FLOW S,5.0,1.0,38.22,25.83,12.39,0.051,32.418
FBBE,FBBE02,LP9012681,JS BABY PWD 100G ORIGINAL,0.0,1.0,32.13,24.32,7.81,0.032,24.308
FBBG,FBBG01,LP9012303,TEEJEL GEL 10G,0.0,1.0,59.96,44.4,15.56,0.065,25.951
FBBG,FBBG01,LP9012932,ASHTON & PARSONS TEETHING PWD,0.0,1.0,46.04,33.4,12.64,0.053,27.454
FDAA,FDAA02,LP9149578,CJ MEDI BANDAGE ELASTIC ADH 7.5CMX3,4.0,2.0,121.72,81.67,40.05,0.166,32.903
FDAA,FDAA03,LP9049428,MEDIC BANDAGE CONFORMING  50MM,11.0,1.0,13.87,8.76,5.11,0.021,36.842
FDAB,FDAB03,LP9015267,BIOSCRUB  500ML WITH PUMP,2.0,1.0,151.26,81.93,69.33,0.288,45.835
FDAC,FDAC03,LP9153980,SAFETAC MEPILEX AG 20X50CM,2.0,1.0,1263.43,971.57,291.86,1.213,23.101
FDAI,FDAI01,LP9149672,CJ MEDI FABRIC ROLL PLASTER 25MMX3M,13.0,1.0,26.04,22.05,3.99,0.017,15.323
FDAI,FDAI02,LP9135945,MX MICROPOROUS TAPE 2.5CM X 3M,7.0,1.0,25.17,18.0,7.17,0.03,28.486
FDAI,FDAI02,LP9136567,MX PERFORATED 2.5CM X 5M SURGICAL T,5.0,1.0,30.39,21.46,8.93,0.037,29.385
FDAI,FDAI02,LP9149666,CJ MEDI SURGICAL PAPER TAPE 2.5CM X,9.0,1.0,17.38,6.42,10.96,0.046,63.061
FDAI,FDAI03,LP9014881,ELASTOPLAST CLEAR STRIPS 20,1.0,1.0,29.52,20.27,9.25,0.038,31.335
FDAI,FDAI05,LP9105028,NEXCARE WPROOF KNEE&ELBOW 3M 8,2.0,2.0,118.18,83.05,35.13,0.146,29.726
FDAI,FDAI05,LP9109836,NEXCARE WPROOF CUSHION ASS 20,1.0,1.0,69.52,46.45,23.07,0.096,33.185
FDAK,FDAK04,LP9073526,VITUS FINGER COTS LATEX,4.0,1.0,17.35,13.0,4.35,0.018,25.072
FDAL,FDAL03,LP9097827,MX GLOVES NITR P/F BLACK MED,3.76,0.24,33.38,23.76,9.62,0.04,28.82
FDAN,FDAN01,LP9020160,EPSOM SALTS 100G PAKMED,0.0,1.0,19.96,12.86,7.1,0.03,35.571
FDAN,FDAN01,LP9020308,HYDROGEN PEROXIDE 40V PAKMED 100ML,4.0,2.0,52.08,35.53,16.55,0.069,31.778
FDAN,FDAN01,LP9081588,BENZYL BENZOATE 100ML,1.0,1.0,30.95,20.39,10.56,0.044,34.12
FDAN,FDAN01,LP9089277,CASTOR OIL 100ML HERC REGULAR,0.0,1.0,23.44,15.3,8.14,0.034,34.727
FDAN,FDAN01,LP9130493,IMPO SOLUTIONS CAMPHOR BLOCK SLEEVE,37.0,1.0,16.48,10.3,6.18,0.026,37.5
FNAA,FNAA01,LP9107814,BRENTONI RAPTOR POLARIZED EYEWEAR,19.0,1.0,152.13,103.07,49.06,0.204,32.249
FNAQ,FNAQ01,LP9116316,BRENTONI BLACK CORDS C1012S,9.0,1.0,12.13,8.0,4.13,0.017,34.048
FNCB,FNCB01,LP9084015,CAN 300ML COKE,29.0,2.0,25.87,19.34,6.53,0.027,25.242
FNCB,FNCB01,LP9084666,CAN 300ML COKE ZERO,47.0,2.0,26.0,19.38,6.62,0.028,25.462
FNCB,FNCB04,LP9017307,BENE STILL WATER  750ML,11.0,1.0,14.77,10.43,4.34,0.018,29.384
FNCB,FNCB05,LP9017356,OROS 300ML ORANGE,10.0,1.0,9.46,6.67,2.79,0.012,29.493
FNCB,FNCB05,LP9017357,OROS 300ML RASPBERRY,8.0,1.0,9.56,6.67,2.89,0.012,30.23
FNCB,FNCB06,LP9017358,BENE FLAV WATER 500ML PEACH/APR,4.0,2.0,22.6,14.76,7.84,0.033,34.69
FNCB,FNCB06,LP9017360,BENE FLAV WATER 500ML NAARTJIE,6.0,2.0,22.6,14.76,7.84,0.033,34.69
FNCB,FNCB06,LP9106175,BENE SPARKLING 500ML STRAWBERRY,4.0,1.0,11.3,6.6,4.7,0.02,41.593
FNCB,FNCB08,LP9114765,STERI STUMPIE 350ML VANILLA,4.0,1.0,17.35,13.8,3.55,0.015,20.461
FNCC,FNCC11,LP9118192,BENTASIL THROAT GUMS S/F 38G EUCALY,3.0,1.0,29.52,21.31,8.21,0.034,27.812
FNCD,FNCD02,LP9017766,NESTLE KIT KAT 4F 41.5G,26.0,1.0,13.0,9.9,3.1,0.013,23.846
FNCD,FNCD02,LP9105076,NESTLE TEX MINI 18G,41.0,1.0,6.04,4.18,1.86,0.008,30.795
FNCE,FNCE01,LP9018085,JUNGLE ENERGY BAR BERRIES K,14.0,3.0,39.0,29.22,9.78,0.041,25.077
FNCE,FNCE01,LP9018087,JUNGLE ENERGY BAR MILK CHOCOLATE K,20.0,1.0,13.0,9.72,3.28,0.014,25.231
FNCE,FNCE01,LP9018088,JUNGLE ENERGY BAR NUT K,29.0,1.0,13.0,9.4,3.6,0.015,27.692
FNCE,FNCE01,LP9018089,JUNGLE ENERGY BAR YOGHURT,18.0,1.0,13.0,9.74,3.26,0.014,25.077
FNCE,FNCE01,LP9063649,JUNGLE ENERGY BAR PEANUT BUTTER,20.0,2.0,26.0,19.48,6.52,0.027,25.077
FNCE,FNCE01,LP9144968,ENERGADE SPORT JELLIES 60G,17.0,2.0,29.48,22.6,6.88,0.029,23.338
FNCE,FNCE03,LP9049604,MR SWEET 60G MINI SOFT GUMS,8.0,1.0,13.0,9.7,3.3,0.014,25.385
FNCE,FNCE06,LP9018286,FIZZ POPS APPLE 20.5G,25.0,1.0,2.57,1.42,1.15,0.005,44.747
FNCE,FNCE06,LP9018315,MENTOS ROLL STRAWBERRY,27.0,1.0,11.26,7.81,3.45,0.014,30.639
FNCE,FNCE06,LP9076268,MENTOS ROLL GRAPE MIX,5.0,1.0,11.26,7.81,3.45,0.014,30.639
FNCF,FNCF01,LP9018497,HALLS STICK 10 EXTRA STRONG,64.0,2.0,26.0,17.28,8.72,0.036,33.538
FNCS,FNCS07,LP9150543,TRUDA PRETZEL 30G HONEY&MUSTARD,19.0,3.0,15.63,9.36,6.27,0.026,40.115
FNCS,FNCS07,LP9150977,TRUDA PRETZEL TOMATO BBQ 30G,53.0,1.0,5.21,3.12,2.09,0.009,40.115
