pharmacy,date,department_code,stock_code,description,sales_qty,sales_value,sales_cost,gross_profit,gross_profit_percent
TLC WINTERTON,2025-08-04,PDST,LP9103984,MYLAN DICLOFENAC 50MG TABS   18,14.0,224.23,102.62,121.61,54.234
TLC WINTERTON,2025-08-04,MAHR,LP9038226,GRANDPA SINGLES,7.0,24.01,17.08,6.93,28.863
TLC WINTERTON,2025-08-04,KSAA,LP9044477,CLINIC CONSULT/SERVICE FEE,6.0,730.44,0.0,730.44,100.0
TLC WINTERTON,2025-08-04,MAHI,LP9038869,ENO FRUIT SALTS SINGLE REGULAR,6.0,31.02,21.54,9.48,30.561
TLC WINTERTON,2025-08-04,HVLI,LP9036595,BIOPLUS BOOSTER SACH SBERRY 10ML,5.0,30.4,16.96,13.44,44.211
TLC WINTERTON,2025-08-04,MAHI,LP9038926,MIST POT CIT 100ML SIMPLEX PROPAN,5.0,103.73,72.05,31.68,30.541
TLC WINTERTON,2025-08-04,MAHR,LP9038302,ADCO NAPAMOL SYRUP 100ML,5.0,106.61,70.7,35.91,33.684
TLC WINTERTON,2025-08-04,PDOD,LP9039202,WORMSTOP SUSPENSION 30ML,5.0,125.49,89.78,35.71,28.456
TLC WINTERTON,2025-08-04,PDOR,LP9038497,ADCO LINCTOPENT 100ML,5.0,153.72,109.9,43.82,28.506
TLC WINTERTON,2025-08-04,PDOR,LP9038492,ALCOPHYLLEX 100ML SYRUP,5.0,68.64,48.25,20.39,29.706
